#,Product Name,Accounting,DNOB,Use By,Derived From,Cut/Primal,Yield %,Category,Marble,Weight (G),Unit of Measure,SalesUnitPrice
,WAGYU (O/F) HANGING TENDER,3917,,,,Primal,,Olive Fed,,1000,Per KG,17.5
,WAGYU (O/F) FLANK STEAK,3918,,,,Primal,,Olive Fed,,1000,Per KG,17
,WAGYU (O/F) SIRLOIN FLAP MEAT,3919,,,,Primal,,Olive Fed,,1000,Per KG,17
,WAGYU (O/F) NAVAL END BRISKET,3920,,,,Primal,,Olive Fed,,1000,Per KG,12
,WAGYU (O/F) POINT END BRISKET,3921,,,,Primal,,Olive Fed,,1000,Per KG,12
,WAGYU (O/F) CHUCK TENDER,3922,,,,Primal,,Olive Fed,,1000,Per KG,12
,WAGYU (O/F) OYSTER BLADE,3923,,,,Primal,,Olive Fed,,1000,Per KG,17.5
,WAGYU (O/F) 7 BONE RIBEYE,3949,,,,Primal,,Olive Fed,,1000,Per KG,40
,WAGYU (O/F) FILLET,3984,,,,Primal,,Olive Fed,,1000,Per KG,40
,WAGYU (O/F) STRIPLOIN,3985,,,,Primal,,Olive Fed,,1000,Per KG,40
,WAGYU (O/F) CHUCK ROLL,3986,,,,Primal,,Olive Fed,,1000,Per KG,12
,WAGYU (O/F) SHORT RIB,3987,,,,Primal,,Olive Fed,,1000,Per KG,16
,WAGYU (O/F) FAT ON RUMP CAP,3988,,,,Primal,,Olive Fed,,1000,Per KG,17
,WAGYU (O/F) TRI TIP,3989,,,,Primal,,Olive Fed,,1000,Per KG,17
,Wagyu Cheeks kg,4.1. Cheeks kg,,,,Primal,,Warrendale,,1000,Per KG,7.97
,Wagyu Flat Iron kg,4.10. Flat Iron (kg),,,,Primal,,Warrendale,,1000,Per KG,28
,Wagyu Topside kg,4.11. Topside,,,,Primal,,Warrendale,,1000,Per KG,14
,Wagyu Silverside kg,4.12. Silverside (kg),,,,Primal,,Warrendale,,1000,Per KG,11.2
,Wagyu Short Ribs kg,4.13. Short Ribs,,,,Primal,,Warrendale,,1000,Per KG,18
,4.14. T Bone,4.14. T Bone,,,,Primal,,Warrendale,,1000,Per KG,35
,4.15. Bone in Rib (kg),4.15. Bone in Rib (kg),,,,Primal,,Warrendale,,1000,Per KG,0
,4.16 Rib Cap,4.16 Rib Cap,,,,Primal,,Warrendale,,1000,Per KG,0
,Chuck Denver kg,4.17 Chuck Denver,,,,Primal,,Warrendale,,1000,Per KG,24.92
,Chuck Short Rib kg,4.18 Chuck Short Rib,,,,Primal,,Warrendale,,1000,Per KG,16
,PAT Chuck Tender kg,4.19 Chuck Tender,,,,Primal,,Warrendale,,1000,Per KG,12
,Bavette Steak kg,4.2. Bavette Steak kg,,,,Primal,,Warrendale,,1000,Per KG,25
,Fore Fillet kg,4.20 Fore Fillet,,,,Primal,,Warrendale,,1000,Per KG,13.44
,Goose Skirts kg,4.21 Goose Skirts,,,,Primal,,Warrendale,,1000,Per KG,22.4
,H/Q Shin kg,4.22 H/Q Shin,,,,Primal,,Warrendale,,1000,Per KG,11.2
,Hanger kg,4.23 Hanger,,,,Primal,,Warrendale,,1000,Per KG,19.6
,LMC kg,4.24 LMC,,,,Primal,,Warrendale,,1000,Per KG,10
,Oxtail kg,4.25 Oxtail,,,,Primal,,Warrendale,,1000,Per KG,7.97
,PAT Knuckle kg,4.26 PAT Knuckle,,,,Primal,,Warrendale,,1000,Per KG,12
,PAT LMC kg,4.27 PAT LMC,,,,Primal,,Warrendale,,1000,Per KG,13.44
,PAT Silverside kg,4.28 PAT Silverside,,,,Primal,,Warrendale,,1000,Per KG,12
,Thin Skirt kg,4.29 Thin Skirt,,,,Primal,,Warrendale,,1000,Per KG,19.6
,Brisket kg,4.3. Brisket kg,,,,Primal,,Warrendale,,1000,Per KG,12.5
,Tomahawk kg,4.30 Tomahawk,,,,Primal,,Warrendale,,1000,Per KG,32
,Tri Tip kg,4.31 Tri Tip,,,,Primal,,Warrendale,,1000,Per KG,17
,Trim 80VL kg,4.32 Trim 80VL,,,,Primal,,Warrendale,,1000,Per KG,8.5
,Body Fat kg,4.33 Body Fat,,,,Primal,,Warrendale,,1000,Per KG,1.12
,Chuck Flap kg,4.34 Chuck Tail Flap,,,,Primal,,Warrendale,,1000,Per KG,19
,Boneless Short Ribs kg,4.35 Boneless Short Ribs,,,,Primal,,Warrendale,,1000,Per KG,25
,Rump Heart kg,4.36 Rump Heart,,,,Primal,,Warrendale,,1000,Per KG,21
,Rump Cap (Picanha) kg,4.37 Rump Cap (Picanha),,,,Primal,,Warrendale,,1000,Per KG,25
,Fore Fillet kg,4.38 Fore Fillet,,,,Primal,,Warrendale,,1000,Per KG,13.44
,Inside Skirt kg,4.39 Inside Skirt,,,,Primal,,Warrendale,,1000,Per KG,19.6
,Fillet kg,4.4. Fillet kg,,,,Primal,,Warrendale,,1000,Per KG,62
,Neck kg,4.41 Neck,,,,Primal,,Warrendale,,1000,Per KG,8.5
,Tongue kg,4.42 Tongue,,,,Primal,,Warrendale,,1000,Per KG,8.5
,Ribeye Centre Saku kg,4.43 Ribeye Centre Saku,,,,Primal,,Warrendale,,1000,Per KG,97.3
,Chuck Saku Denver kg,4.44 Chuck Saku Denver,,,,Primal,,Warrendale,,1000,Per KG,30
,Flank kg,4.45 Flank kg,,,,Primal,,Warrendale,,1000,Per KG,0
,Knuckle kg,4.46 Knuckle,,,,Primal,,Warrendale,,1000,Per KG,12
,Chuck Eye Roll kg,4.47 Chuck Eye Roll,,,,Primal,,Warrendale,,1000,Per KG,16
,Rump kg,4.5. Rump kg,,,,Primal,,Warrendale,,1000,Per KG,23
,Sirloin kg,4.6. Sirloin kg,,,,Primal,,Warrendale,,1000,Per KG,44
,Ribeye kg,4.7. Ribeye kg,,,,Primal,,Warrendale,,1000,Per KG,54
,Chuck Roll kg,4.8. Chuck Roll,,,,Primal,,Warrendale,,1000,Per KG,14
,Rump Tail kg,4.8. Rump Tail,,,,Primal,,Warrendale,,1000,Per KG,12.04
,Marrow Bones,4.9. Marrow Bones,,,,Primal,,Warrendale,,1000,Per KG,1.5
,WAGYU (O/F) BOLAR BLADE,4951,,,,Primal,,Olive Fed,,1000,Per KG,12
,WAGYU (O/F) CHUCK SHORT RIB,4952,,,,Primal,,Olive Fed,,1000,Per KG,16
,WAGYU BEEF PAT EYE ROUND (SALMO,4953,,,,Primal,,Olive Fed,,1000,Per KG,12
,WAGYU (O/F) TOPSIDE,4954,,,,Primal,,Olive Fed,,1000,Per KG,12
,WAGYU (O/F) OUTSIDE FLAT S/SIDE BED,4955,,,,Primal,,Olive Fed,,1000,Per KG,12
,WAGYU (O/F) INSIDE SKIRT,4956,,,,Primal,,Olive Fed,,1000,Per KG,17
,WAGYU (O/F) CHEEKS,4958,,,,Primal,,Olive Fed,,1000,Per KG,17.5
,WAGYU (O/F) 80VL TRIM,4959,,,,Primal,,Olive Fed,,1000,Per KG,7.3
,Stewing Steak 1kg,5.1 Stewing Steak 1kg,,,,Cut,,Warrendale,,1000,Each,19
,Steak Burger,5.10 Steak Burger,,,,Cut,,Warrendale,,170,Each,3.5
,Steak Hache,5.11 Steak Hache,,,,Cut,,Warrendale,,170,Each,3.5
,Steak burger Mix,5.12 Steak burger mix,,,,Cut,,Warrendale,,1000,Per KG,14
,Burger Mix,5.13 Burger Mix,,,,Cut,,Warrendale,,1000,per KG,12
,Fillet 4oz,5.14 Fillet 4oz,,,,Cut,,Warrendale,,113,Each,8
,Fillet 6oz,5.15 Fillet 6oz,,,,Cut,,Warrendale,,170,Each,12
,Fillet 8oz,5.16 Fillet 8oz,,,,Cut,,Warrendale,,227,Each,16
,Ribeye 8oz,5.17 Ribeye 8oz,,,,Cut,,Warrendale,,227,Each,13.85
,Ribeye 10oz,5.18 Ribeye 10oz,,,,Cut,,Warrendale,,283,Each,16.95
,Sirloin 4oz,5.19 Sirloin 4oz,,,,Cut,,Warrendale,,113,Each,6.5
,90VL Steak Mince 1kg,5.2 90VL Steak Mince 1kg,,,,Cut,,Warrendale,,1000,Per kg,14
,Sirloin 6oz,5.20 Sirloin 6oz,,,,Cut,,Warrendale,,170,Each,9
,Sirloin 8oz,5.21 Sirloin 8oz,,,,Cut,,Warrendale,,227,Each,11.5
,Sirloin 10oz,5.22 Sirloin 10oz,,,,Cut,,Warrendale,,283,Each,14
,Rump 3oz,5.23 Rump 3oz,,,,Cut,,Warrendale,,85,Each,3
,Rump 4oz,5.24 Rump 4oz,,,,Cut,,Warrendale,,113,Each,3.5
